kind,day,position_id,symbol,side,open_time,close_time,volume,closed_volume,avg_entry,avg_exit,closed_pnl,commission,swap,deal_count,magic_values,comments,tickets
BOT,2026-06-24,19556510,XAUUSD,SELL,2026-06-24 15:25:09,2026-06-24 16:01:29,0.01,0.01,4018.49,3974.61,43.88,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 3974.57],"17311856,17312653"
BOT,2026-06-24,19556879,XAUUSD,SELL,2026-06-24 15:49:55,2026-06-24 15:58:39,0.01,0.01,4003.54,3994.04,9.5,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 3994.16],"17312232,17312400"
BOT,2026-06-24,19556880,XAUUSD,SELL,2026-06-24 15:49:55,2026-06-24 16:00:13,0.01,0.01,4003.35,3986.84,16.51,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 3986.70],"17312233,17312454"
BOT,2026-06-24,19556881,XAUUSD,SELL,2026-06-24 15:49:55,2026-06-24 16:01:07,0.01,0.01,4003.61,3979.21,24.4,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 3979.24],"17312234,17312597"
BOT,2026-06-24,19557004,XAUUSD,SELL,2026-06-24 15:56:41,2026-06-24 16:00:12,0.01,0.01,3996.49,3987.24,9.25,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 3987.18],"17312358,17312453"
BOT,2026-06-24,19557005,XAUUSD,SELL,2026-06-24 15:56:41,2026-06-24 16:00:48,0.01,0.01,3996.67,3979.49,17.18,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 3979.58],"17312359,17312573"
BOT,2026-06-24,19557007,XAUUSD,SELL,2026-06-24 15:56:42,2026-06-24 16:11:09,0.01,0.01,3996.83,3971.75,25.08,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 3971.99],"17312361,17312974"
BOT,2026-06-24,19557008,XAUUSD,SELL,2026-06-24 15:56:42,2026-06-24 16:00:14,0.01,0.01,3996.84,3983.72,13.12,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 3983.80],"17312362,17312468"
BOT,2026-06-24,19557009,XAUUSD,SELL,2026-06-24 15:56:42,2026-06-24 16:01:33,0.01,0.01,3997.12,3973.21,23.91,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 3973.51],"17312363,17312672"
BOT,2026-06-24,19557010,XAUUSD,SELL,2026-06-24 15:56:43,2026-06-24 16:42:13,0.01,0.01,3997.12,4012.34,-15.22,0.0,0.0,2,88001,GOLD_PRO_TP3 | [sl 4012.11],"17312364,17313730"
BOT,2026-06-24,19557100,XAUUSD,SELL,2026-06-24 16:00:13,2026-06-24 16:11:56,0.01,0.01,3984.01,3968.5,15.51,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 3968.12],"17312458,17313010"
BOT,2026-06-24,19557104,XAUUSD,SELL,2026-06-24 16:00:14,2026-06-24 16:39:52,0.01,0.01,3983.79,4006.05,-22.26,0.0,0.0,2,88001,GOLD_PRO_TP2 | [sl 4005.99],"17312462,17313664"
BOT,2026-06-24,19557107,XAUUSD,SELL,2026-06-24 16:00:14,2026-06-24 16:39:52,0.01,0.01,3982.8,4006.05,-23.25,0.0,0.0,2,88001,GOLD_PRO_TP3 | [sl 4005.99],"17312465,17313665"
BOT,2026-06-24,19557352,XAUUSD,SELL,2026-06-24 16:01:45,2026-06-24 16:03:21,0.01,0.01,3972.76,3985.25,-12.49,0.0,0.0,2,88001,GOLD_PRO_TP1 | [sl 3985.10],"17312711,17312758"
