position_id,strategy,symbol,side,first_time,last_time,volume_in,volume_out,avg_entry,avg_exit,pnl,commission,swap,magics,comments
1352559187,GOLD_PRO_TP1,EURUSDm,BUY,2026-06-09 15:46:03,2026-06-09 18:35:21,0.01,0.01,1.1573,1.15522,-2.08,0.0,0.0,88001,GOLD_PRO_TP1 / [sl 1.15522]
1352559189,GOLD_PRO_TP2,EURUSDm,BUY,2026-06-09 15:46:03,2026-06-09 18:35:21,0.01,0.01,1.1573,1.15522,-2.08,0.0,0.0,88001,GOLD_PRO_TP2 / [sl 1.15522]
1352559193,GOLD_PRO_TP3,EURUSDm,BUY,2026-06-09 15:46:03,2026-06-09 18:35:21,0.01,0.01,1.1573,1.15522,-2.08,0.0,0.0,88001,GOLD_PRO_TP3 / [sl 1.15522]
1352559196,GOLD_PRO_TP1,EURUSDm,BUY,2026-06-09 15:46:03,2026-06-09 18:35:21,0.01,0.01,1.1573,1.15522,-2.08,0.0,0.0,88001,GOLD_PRO_TP1 / [sl 1.15522]
1352559198,GOLD_PRO_TP2,EURUSDm,BUY,2026-06-09 15:46:03,2026-06-09 18:35:21,0.01,0.01,1.1573,1.15522,-2.08,0.0,0.0,88001,GOLD_PRO_TP2 / [sl 1.15522]
1352559202,GOLD_PRO_TP3,EURUSDm,BUY,2026-06-09 15:46:03,2026-06-09 18:35:21,0.01,0.01,1.1573,1.15522,-2.08,0.0,0.0,88001,GOLD_PRO_TP3 / [sl 1.15522]
1352558882,GOLD_PRO_TP1,EURUSDm,BUY,2026-06-09 15:51:35,2026-06-10 05:37:48,0.01,0.01,1.15725,1.15436,-2.89,0.0,0.0,"0,88001",GOLD_PRO_TP1
1352558884,GOLD_PRO_TP2,EURUSDm,BUY,2026-06-09 15:51:35,2026-06-10 05:37:48,0.01,0.01,1.15725,1.15436,-2.89,0.0,0.0,"0,88001",GOLD_PRO_TP2
1352558885,GOLD_PRO_TP3,EURUSDm,BUY,2026-06-09 15:51:35,2026-06-10 05:37:48,0.01,0.01,1.15725,1.15436,-2.89,0.0,0.0,"0,88001",GOLD_PRO_TP3
1352558899,GOLD_PRO_TP1,EURUSDm,BUY,2026-06-09 15:51:35,2026-06-09 18:35:21,0.01,0.01,1.15725,1.15517,-2.08,0.0,0.0,88001,GOLD_PRO_TP1 / [sl 1.15517]
1352558901,GOLD_PRO_TP2,EURUSDm,BUY,2026-06-09 15:51:35,2026-06-09 18:35:21,0.01,0.01,1.15725,1.15517,-2.08,0.0,0.0,88001,GOLD_PRO_TP2 / [sl 1.15517]
1352558902,GOLD_PRO_TP3,EURUSDm,BUY,2026-06-09 15:51:35,2026-06-09 18:35:21,0.01,0.01,1.15725,1.15517,-2.08,0.0,0.0,88001,GOLD_PRO_TP3 / [sl 1.15517]
